PERSON_ID,PUBLICATION_ID
20,7172181
20,47141862
33,2567537
33,9875541
33,9875379
33,2463265
33,9875466
33,2463103
33,10579505
33,2566051
33,9911335
33,2733835
33,2570419
44,2404453
44,2404492
57,2828419
77,39661916
77,39661975
77,39661587
77,39661827
77,39661545
77,39662021
77,39661671
77,39661801
77,39661647
77,39661958
77,39661845
77,39661750
77,39661782
77,39661932
77,39661896
77,39661623
77,39661991
77,39661861
77,39661733
77,39661692
77,39661715
83,2881440
83,2429019
83,7195382
83,7195293
83,2429064
83,7185756
83,2527604
83,2429037
83,2379958
83,13360563
83,2881539
83,2527585
83,7195006
83,2881508
83,2793728
83,2881620
83,2429103
83,2881551
83,2881498
83,7194942
83,9773060
83,2881452
83,2881382
83,2851824
94,7233274
94,17029411
94,2435617
94,2914331
94,15842132
94,7232952
94,2916200
94,15838691
94,9707544
94,2400004
94,2435398
94,7233843
94,7233179
94,2435604
94,7233422
94,2908242
94,7233979
94,8297287
94,4597847
94,7233641
94,7233502
94,17044570
94,52393457
94,7233526
94,7234155
94,2435528
94,9707209
94,7230027
94,2436117
94,2435501
94,7232993
94,7233016
94,7233807
94,7233876
94,7233233
94,11101880
94,2914849
94,9707610
94,2436183
94,2914900
94,7233465
94,2914987
94,7233940
94,17044546
94,7233780
94,7233377
94,9707636
94,7234051
94,17029377
94,7233556
94,7233051
94,2435378
94,2908873
94,2435484
94,8219489
94,7233713
94,2434641
94,51699744
94,7233340
94,7233073
94,2916054
94,17095491
94,7233620
94,7233095
94,2380913
94,2434603
94,7233598
94,7233671
94,7234015
94,2917967
94,16805569
94,2914977
94,17095445
94,7233206
94,7234081
94,8297344
94,8442973
94,9707587
94,51699782
94,9707255
94,7233915
94,2914264
94,2438485
94,7233146
94,7234116
94,18669515
94,7233745
103,2893368
103,2893333
103,2893284
103,2893221
103,16985427
103,10667753
104,2649719
104,2648689
104,9647464
104,11111367
104,10580914
104,2648447
104,2647557
104,2648396
104,2648408
104,2648430
104,40891336
104,7192215
105,9166233
105,2817639
105,2465180
105,2662331
105,2467212
105,2467341
105,2973425
105,2494627
105,2467242
105,2467356
105,2467355
105,2817660
105,2534442
105,2662278
105,2534406
105,2835299
105,2947310
105,2467134
105,2534392
105,2494605
105,2467275
105,2494648
105,2467286
105,2494686
132,7935472
132,2861766
132,2437247
132,2864606
132,8744690
132,11204420
132,8209371
132,2437499
132,2437194
132,2867104
132,2436291
132,2437508
132,2866986
132,2532526
132,2437208
132,7214326
132,2436346
132,2532560
153,2747618
153,2973103
153,2973065
153,2914390
153,2914357
153,2914223
153,2384108
177,2464703
177,2465583
177,2464472
177,2934092
177,2391779
177,2933786
177,2933917
177,2464705
177,2934025
177,2933871
177,2391294
177,2934049
177,2934061
177,2934018
177,2464557
177,2933950
177,2934082
177,2391432
177,2933848
178,2823225
178,2390641
178,2705424
184,7012176
184,7012679
185,13812098
185,13812141
185,38069292
185,8471300
189,35510201
189,2753393
189,9053113
189,2905520
189,2512638
189,2752065
189,9053124
189,2512682
189,2794827
189,2661145
189,9053276
189,2850643
189,2448896
189,2484562
189,2752590
189,7032232
189,9053136
189,9053292
193,90573697
193,16999187
193,2915673
193,90567715
193,8299169
193,2915487
193,2915693
193,2915727
193,11293656
193,17074604
204,15219260
204,2614127
204,4461154
204,2614266
204,2614174
204,2731922
204,2437097
204,2731894
204,2614141
204,2614134
204,2352459
204,909593
204,2614184
204,2614224
204,2731919
204,2731964
204,2350345
204,2437048
204,2731881
204,2614165
204,32536368
204,2614194
204,2731872
204,2732034
204,2355464
204,2731998
204,2437109
204,7202976
204,2639932
204,2437137
204,2731911
204,8266628
204,4461052
238,2773945
238,2773921
238,2773912
238,2773928
238,2403599
238,12742317
238,2866353
238,7176837
238,2773938
238,2879187
238,2403127
238,2403154
302,34235013
302,34234962
315,2867254
315,2867357
315,2867228
315,2867378
315,32067459
315,2867347
315,2867034
315,2867424
315,2867333
315,2867110
315,2867314
315,2867413
315,15036478
321,2948812
321,2354136
321,2948844
321,2940134
321,2390656
321,2706148
321,2438302
321,2706190
321,2706112
321,2703922
321,2712520
321,2438294
321,2706140
321,2705828
321,2706120
321,2940127
321,2706102
321,2441565
321,2706171
321,2948790
321,2706183
321,2706088
321,2706164
321,2706133
330,2454719
330,2963405
330,2780256
330,2454771
330,4462016
330,2963405
330,94038055
330,7146388
330,9758216
348,16979549
351,2541508
351,34942638
351,8176293
351,2428017
351,2541574
351,2520819
351,2450595
351,2520652
351,2450513
351,2450622
379,2564607
379,2519029
379,917867
379,2648834
379,13942128
379,2505902
379,2548545
379,2518960
379,2514438
379,2670882
379,2518952
379,2644540
379,2519087
379,2535823
379,13942167
379,2487105
379,2518937
379,2535582
379,2609004
379,2533036
379,13942219
379,2514271
379,13942188
379,2548671
379,2518906
379,2514252
379,2519054
405,8530128
405,2528023
405,2593843
405,2593209
405,2935775
405,2403794
405,5140875
405,2852135
405,11111838
405,2815985
405,2852203
405,7132584
405,2593122
405,8329265
405,2522589
405,8529837
405,2935778
405,2342683
405,2528054
405,2734753
405,9711339
405,2589943
405,2723854
405,2342754
405,2589880
405,2724059
405,9864898
405,25100497
405,2522551
410,2428718
410,2763115
410,2526532
410,2579176
410,2837171
412,2656595
412,2423824
419,2398632
419,2469702
419,2469710
419,2722540
419,2970905
419,2445184
419,2489183
419,2343112
419,2398618
419,2396962
419,2435062
419,2591667
419,2402761
419,1977387
419,2593835
419,2490243
419,2658327
419,2720093
419,2406130
419,2435026
419,2123821
419,2937806
419,2639263
419,2483342
419,2737988
419,2658241
419,2888618
419,2812500
419,2738058
419,2632008
419,2345559
419,2473237
419,2129982
419,2445176
419,2129552
419,2045437
419,2517247
419,2763847
419,2360649
419,2480473
419,9533130
419,2360671
419,2658234
419,2973118
419,2360639
419,2722636
419,2719862
419,2129574
419,2489034
419,9844256
419,2593828
419,2343121
419,9533143
419,2346229
419,2936470
419,2467655
419,2738041
419,2542422
419,2489197
419,2123797
419,2346257
419,2346025
419,2519465
419,2435034
419,2516946
419,2129562
419,2346348
419,2485725
419,2360617
419,2785650
442,2381068
442,16983146
442,2383870
442,91245910
442,32539966
442,2832267
442,14942326
